Time,Region,Population,livebirths,deaths,employment_rate,unemployment_rate,consumption_expenditures,income
May.2018,Japan,126732000,80154,106751,60.3,2.3,281307,439089
Jun.2018,Japan,126783000,77228,98923,60.2,2.5,267641,808716
Jul.2018,Japan,126811000,81395,107344,60,2.5,283387,605746
Aug.2018,Japan,126785000,82181,106496,60.2,2.5,292481,510437
Sep.2018,Japan,126714000,79005,105230,60.5,2.4,271273,447459
Oct.2018,Japan,126749000,80184,112908,60.6,2.4,290396,515729
Nov.2018,Japan,126765000,75935,115036,60.4,2.4,281041,455644
Dec.2018,Japan,126753000,76621,124147,60,2.3,329271,1026628
Jan.2019,Japan,126641000,74397,140953,59.7,2.4,296345,471124
Feb.2019,Japan,126642000,65736,117896,60,2.3,271232,526271
Mar.2019,Japan,126587000,70920,118937,60.3,2.5,309274,481035
Apr.2019,Japan,126600000,71644,113399,60.5,2.6,301136,525927
May.2019,Japan,126534000,76673,110586,60.7,2.4,300901,457376
Jun.2019,Japan,126612000,72552,101843,60.8,2.3,276882,880805
Jul.2019,Japan,126633000,77554,106426,60.7,2.3,288026,626488
Aug.2019,Japan,126593000,77290,111068,60.9,2.3,296327,521571
Sep.2019,Japan,126513000,75553,107286,61,2.4,300609,457427
Oct.2019,Japan,126555000,75646,113775,61.2,2.4,279671,536075
Nov.2019,Japan,126553000,71369,118745,60.9,2.2,278765,475548
Dec.2019,Japan,126540000,74195,127401,60.8,2.1,321380,1074143
Jan.2020,Japan,126387000,72720,131787,60.3,2.3,287173,484697
Feb.2020,Japan,126409000,65891,116747,60.4,2.3,271735,537666
Mar.2020,Japan,126370000,69623,118642,60.4,2.6,292214,490589
Apr.2020,Japan,126342000,72075,113519,59.8,2.8,267922,531017
May.2020,Japan,126310000,72151,107593,60.1,2.9,252017,502403
Jun.2020,Japan,126279000,71750,99896,60.2,2.8,273699,1019095
Jul.2020,Japan,126261000,75851,104695,60,2.9,266897,685717
Aug.2020,Japan,126239000,74698,111813,60.3,3,276360,528891
Sep.2020,Japan,126187000,74749,106953,60.3,3,269863,469235
Oct.2020,Japan,126146099,73742,117786,60.4,3.1,283508,546786
Nov.2020,Japan,125669000,68407,118198,60.6,2.8,278718,473294
Dec.2020,Japan,125651000,71879,135431,60.3,2.8,315007,1045032
Jan.2021,Japan,125630000,58940,138104,60,2.9,267760,469254
Feb.2021,Japan,125552000,58710,118270,60.1,2.8,252451,535392
Mar.2021,Japan,125480000,68307,123035,60.2,2.7,309800,484914
Apr.2021,Japan,125417000,69726,117758,60.3,3,301043,543063
May.2021,Japan,125339000,69405,118230,60.3,3.1,281063,489019
Jun.2021,Japan,125285000,69922,108344,60.6,3,260285,904078
Jul.2021,Japan,125682000,73248,111902,60.8,2.8,267710,668062
Aug.2021,Japan,125633000,74563,117473,60.6,2.8,266638,555009
Sep.2021,Japan,125559000,74455,115394,60.5,2.8,265306,481800
Oct.2021,Japan,125502000,72023,120447,60.4,2.7,281996,549269
Nov.2021,Japan,125443000,69316,122559,60.3,2.7,277029,481838
Dec.2021,Japan,125380000,71410,136332,60.4,2.5,317206,1102091
Jan.2022,Japan,125309000,62895,141052,60.1,2.7,287801,479805
Feb.2022,Japan,125194000,58301,137757,60.2,2.6,257887,540712
Mar.2022,Japan,125103000,64136,138963,60.5,2.6,307261,503128
Apr.2022,Japan,125071000,62150,121367,60.9,2.7,304510,539738
May.2022,Japan,125072000,64054,121011,61,2.8,287687,489745
Jun.2022,Japan,125104000,63480,111489,61.3,2.7,276885,916705
Jul.2022,Japan,125125000,67238,117183,61.3,2.5,285313,657263
Aug.2022,Japan,125082000,72890,135239,61.3,2.6,289974,563963
Sep.2022,Japan,124971000,71593,126703,61.3,2.7,280999,499438
Oct.2022,Japan,124947000,69109,131398,61.2,2.6,298006,568282
